title1,PaperId,Doi
10.1001/archpedi.160.3.279,2137918531,10.1001/archpedi.160.3.279
10.1001/jama.287.9.1123,2106231056,10.1001/jama.287.9.1123
10.1038/ajh.2010.40,2039034380,10.1038/ajh.2010.40
10.1038/oby.2000.79,2029957476,10.1038/oby.2000.79
10.1038/oby.2009.365,2083124104,10.1038/oby.2009.365
10.1068/i0701,2075585088,10.1068/i0701
10.1080/10911350903341077,2039617691,10.1080/10911350903341077
10.1097/00001648-199307000-00005,2058242293,10.1097/00001648-199307000-00005
10.1097/AOG.0b013e31818b0df2,1986943575,10.1097/AOG.0b013e31818b0df2
10.1097/OLQ.0b013e318074e565,2017153096,10.1097/OLQ.0b013e318074e565
10.1177/0300060514555562,2117171877,10.1177/0300060514555562
10.1177/1059840511420878,2139461171,10.1177/1059840511420878
10.1177/147470491301100104,2212661682,10.1177/147470491301100104
10.1177/147470491301100316,2254456704,10.1177/147470491301100316
10.1177/2053951716665129,2528623553,10.1177/2053951716665129
10.1177/2158244013515690,1952394250,10.1177/2158244013515690
10.1177/2158244014522075,2105762850,10.1177/2158244014522075
10.1177/2158244014545459,2119591307,10.1177/2158244014545459
10.1177/2158244014555119,2269503640,10.1177/2158244014555119
10.1177/2158244015579940,2098525978,10.1177/2158244015579940
10.1177/2158244015614606,2236134709,10.1177/2158244015614606
10.1177/2158244016679473,2560769351,10.1177/2158244016679473
10.1186/1471-2458-12-185,1996390033,10.1186/1471-2458-12-185
10.1370/afm.214,2121051228,10.1370/afm.214
10.1371/journal.pone.0066353,2084321607,10.1371/journal.pone.0066353
10.1542/peds.99.4.e1,2045608624,10.1542/peds.99.4.e1
10.3945/ajcn.2009.28222,2150991052,10.3945/ajcn.2009.28222
10.4054/DemRes.2007.17.24,2144467111,10.4054/DemRes.2007.17.24
10.1038/jes.2008.10,2079708374,10.1038/jes.2008.10
10.1038/oby.2006.239,2000591642,10.1038/oby.2006.239
10.1038/oby.2012.23,1991182719,10.1038/oby.2012.23
10.1042/AN20110004,2023079484,10.1042/AN20110004
10.1093/aje/kwm121,2151490542,10.1093/aje/kwm121
10.1111/j.1524-4733.2006.00095.x,2100620603,10.1111/j.1524-4733.2006.00095.x
10.1177/0300060514561134,2101723605,10.1177/0300060514561134
10.1177/1476127017706610,2614034693,10.1177/1476127017706610
10.1177/1534735416643384,2345992415,10.1177/1534735416643384
10.1177/1753944718792420,2890802503,10.1177/1753944718792420
10.1177/1756283X17702614,"",""
10.1177/1759091415592126,1933555931,10.1177/1759091415592126
10.1177/1759313116642898,2517070124,10.1177/1759313116642898
10.1177/2158244014556991,2113649357,10.1177/2158244014556991
10.1177/2158244015604690,2221605853,10.1177/2158244015604690
10.1177/2158244016680855,2560131893,10.1177/2158244016680855
10.1177/2158244017701527,2600869067,10.1177/2158244017701527
