,publication_id,AuthorId,Doi
0,166,1980535627,10.1093/geront/36.4.464
1,166,2102637265,10.1093/geront/36.4.464
2,166,2097939274,10.1093/geront/36.4.464
3,166,2474341466,10.1093/geront/36.4.464
4,167,2097939274,10.1093/geronb/56.5.S275
5,167,2499014183,10.1093/geronb/56.5.S275
6,167,2234846273,10.1093/geronb/56.5.S275
7,168,1980535627,10.1093/geront/39.1.59
8,168,2097939274,10.1093/geront/39.1.59
9,168,2474341466,10.1093/geront/39.1.59
10,168,2606722347,10.1093/geront/39.1.59
11,169,2613546129,10.1093/geront/39.6.695
12,169,2946498089,10.1093/geront/39.6.695
13,170,2943518788,10.1093/oxfordjournals.aje.a009387
14,170,2146282448,10.1093/oxfordjournals.aje.a009387
15,170,1996976712,10.1093/oxfordjournals.aje.a009387
16,170,2811406723,10.1093/oxfordjournals.aje.a009387
17,171,344986092,10.1093/geront/36.1.70
18,171,2470855445,10.1093/geront/36.1.70
19,171,2282872459,10.1093/geront/36.1.70
20,172,1973103898,10.1146/annurev.publhealth.21.1.505
21,172,1828452062,10.1146/annurev.publhealth.21.1.505
22,172,63709876,10.1146/annurev.publhealth.21.1.505
23,173,2806638351,10.1002/1097-0142(19931001)72:7<2148::AID-CNCR2820720714>3.0.CO;2-Q
24,173,1458541423,10.1002/1097-0142(19931001)72:7<2148::AID-CNCR2820720714>3.0.CO;2-Q
25,174,1976455567,10.1038/sj.jea.7500032
26,174,2168946641,10.1038/sj.jea.7500032
27,174,910150234,10.1038/sj.jea.7500032
28,174,2126500472,10.1038/sj.jea.7500032
29,175,2516678621,10.1377/hlthaff.12.1.144
30,175,2591390356,10.1377/hlthaff.12.1.144
31,176,2120572057,10.1093/gerona/52A.2.M97
32,176,1368898200,10.1093/gerona/52A.2.M97
33,176,2242928225,10.1093/gerona/52A.2.M97
34,176,2174866796,10.1093/gerona/52A.2.M97
35,177,2687735311,10.1161/01.STR.15.6.948
36,177,2640591336,10.1161/01.STR.15.6.948
37,178,2469742371,10.1038/oby.2000.74
38,178,2645172284,10.1038/oby.2000.74
39,178,2128247267,10.1038/oby.2000.74
40,178,2141954972,10.1038/oby.2000.74
41,178,637907370,10.1038/oby.2000.74
42,179,2148357322,10.2337/diacare.23.9.1442
43,179,2912366435,10.2337/diacare.23.9.1442
44,179,2018017804,10.2337/diacare.23.9.1442
45,180,2624852136,10.1093/geronb/51B.6.S319
46,180,2042869234,10.1093/geronb/51B.6.S319
47,181,2132933101,10.1377/hlthaff.21.4.246
48,181,1564595410,10.1377/hlthaff.21.4.246
49,181,2100701260,10.1377/hlthaff.21.4.246
50,181,2116289235,10.1377/hlthaff.21.4.246
51,181,2108461669,10.1377/hlthaff.21.4.246
52,182,2426885303,10.1093/ije/27.4.592
53,182,2171591667,10.1093/ije/27.4.592
54,182,2101330723,10.1093/ije/27.4.592
55,183,2012529725,10.1093/geronb/53B.5.P277
56,183,2257748607,10.1093/geronb/53B.5.P277
57,183,1727469598,10.1093/geronb/53B.5.P277
58,185,2121673116,10.1542/peds.101.2.e8
59,185,302363452,10.1542/peds.101.2.e8
60,185,2259383319,10.1542/peds.101.2.e8
61,185,1777160609,10.1542/peds.101.2.e8
62,185,2495005757,10.1542/peds.101.2.e8
63,186,1617168282,10.1038/sj.ijo.0800866
64,187,2139208202,10.1136/bmj.319.7208.478
65,187,2569309706,10.1136/bmj.319.7208.478
66,187,633251105,10.1136/bmj.319.7208.478
67,187,2103603712,10.1136/bmj.319.7208.478
68,188,2109887058,10.2337/diacare.23.9.1272
69,188,1189455603,10.2337/diacare.23.9.1272
70,188,2169313052,10.2337/diacare.23.9.1272
71,188,2165539768,10.2337/diacare.23.9.1272
72,188,2172966387,10.2337/diacare.23.9.1272
73,188,2941102989,10.2337/diacare.23.9.1272
74,188,2018017804,10.2337/diacare.23.9.1272
75,190,2157016169,10.1093/oxfordjournals.aje.a009353
76,190,2113525263,10.1093/oxfordjournals.aje.a009353
77,190,2120148785,10.1093/oxfordjournals.aje.a009353
78,191,2279398010,10.1093/geronb/53B.1.P31
79,191,2174119554,10.1093/geronb/53B.1.P31
80,191,344986092,10.1093/geronb/53B.1.P31
81,191,241779574,10.1093/geronb/53B.1.P31
82,191,2143623617,10.1093/geronb/53B.1.P31
83,191,2155432800,10.1093/geronb/53B.1.P31
84,191,2282872459,10.1093/geronb/53B.1.P31
85,195,2691393787,10.1093/geronb/51B.4.S173
86,195,2027014447,10.1093/geronb/51B.4.S173
87,196,2874964594,10.1136/jech.46.3.191
88,196,2677612835,10.1136/jech.46.3.191
89,196,2162591906,10.1136/jech.46.3.191
90,197,2067512814,10.1093/geront/37.3.314
91,197,2074326392,10.1093/geront/37.3.314
92,197,2579805337,10.1093/geront/37.3.314
93,199,2133479898,10.1111/j.1745-9125.2003.tb00986.x
94,199,1472457134,10.1111/j.1745-9125.2003.tb00986.x
95,200,945875257,10.1093/gerona/53A.1.B59
96,200,2284555953,10.1093/gerona/53A.1.B59
97,200,2118479170,10.1093/gerona/53A.1.B59
98,202,2659267420,10.1377/hlthaff.18.1.194
99,203,2301438019,10.1093/geront/40.5.596
100,204,2162863284,10.1093/geronb/52B.6.S325
101,204,2620328299,10.1093/geronb/52B.6.S325
102,204,2711004010,10.1093/geronb/52B.6.S325
103,204,2181348853,10.1093/geronb/52B.6.S325
104,204,2151764260,10.1093/geronb/52B.6.S325
105,204,2040728972,10.1093/geronb/52B.6.S325
106,204,1960761633,10.1093/geronb/52B.6.S325
107,205,2129936220,10.1038/sj.jea.7500119
108,205,2142724449,10.1038/sj.jea.7500119
109,205,2491311434,10.1038/sj.jea.7500119
110,205,2404444907,10.1038/sj.jea.7500119
111,205,2116623183,10.1038/sj.jea.7500119
112,205,2284621512,10.1038/sj.jea.7500119
113,206,2097348626,10.1542/peds.99.4.e1
114,206,2482775162,10.1542/peds.99.4.e1
115,206,329396132,10.1542/peds.99.4.e1
116,206,28162212,10.1542/peds.99.4.e1
117,206,2132156010,10.1542/peds.99.4.e1
118,206,2164744510,10.1542/peds.99.4.e1
119,207,2101130951,10.1038/sj.ijo.0800849
120,207,2638829868,10.1038/sj.ijo.0800849
121,207,2105066742,10.1038/sj.ijo.0800849
122,207,2944515142,10.1038/sj.ijo.0800849
123,208,2165503318,10.1086/513808
124,208,2103828993,10.1086/513808
125,208,2123385820,10.1086/513808
126,208,130306821,10.1086/513808
127,208,2044502136,10.1086/513808
128,209,2627438496,10.1161/01.STR.19.10.1289
129,209,2715734529,10.1161/01.STR.19.10.1289
130,210,2317047947,10.1093/geront/36.3.363
131,210,2429479817,10.1093/geront/36.3.363
132,211,2711847406,10.1161/01.STR.29.7.1329
133,211,2171591667,10.1161/01.STR.29.7.1329
134,211,2260163415,10.1161/01.STR.29.7.1329
135,212,2626038521,10.1093/geronb/54B.6.S329
136,212,2115853627,10.1093/geronb/54B.6.S329
137,213,2167186587,10.1093/geront/38.5.578
138,213,2258705171,10.1093/geront/38.5.578
139,213,2031381516,10.1093/geront/38.5.578
140,214,2083023864,10.2337/diacare.24.3.447
141,214,2041726959,10.2337/diacare.24.3.447
142,214,2013173301,10.2337/diacare.24.3.447
143,214,2144909258,10.2337/diacare.24.3.447
144,215,1955131116,10.1377/hlthaff.20.1.219
145,215,2627181837,10.1377/hlthaff.20.1.219
146,215,2106850196,10.1377/hlthaff.20.1.219
147,216,2776088230,10.1086/315320
148,216,2297963907,10.1086/315320
149,216,2172119536,10.1086/315320
150,216,1896941458,10.1086/315320
151,217,2790282948,10.1093/geronb/53B.1.S46
152,217,2149608058,10.1093/geronb/53B.1.S46
153,218,2276186145,10.1377/hlthaff.21.2.245
154,219,2216305954,10.1093/geronb/54B.6.S376
155,219,1171704650,10.1093/geronb/54B.6.S376
156,219,2119028193,10.1093/geronb/54B.6.S376
157,220,2216305954,10.1093/geronb/56.1.S20
158,220,1171704650,10.1093/geronb/56.1.S20
159,220,2894343368,10.1093/geronb/56.1.S20
160,221,2780709052,10.1111/1475-6765.00086
161,221,2291852063,10.1111/1475-6765.00086
162,221,1942903017,10.1111/1475-6765.00086
163,222,2890474149,10.1161/01.STR.23.10.1416
164,222,2011112726,10.1161/01.STR.23.10.1416
165,222,29809198,10.1161/01.STR.23.10.1416
166,223,2462960653,10.1377/hlthaff.19.4.171
167,223,2417293154,10.1377/hlthaff.19.4.171
168,223,2233200757,10.1377/hlthaff.19.4.171
169,223,2173574385,10.1377/hlthaff.19.4.171
