,PaperId,publication_id,FieldOfStudyId,NormalizedName,PaperCount,pub_date,title,Doi
0,2137918531,1064,156957248,odds ratio,170515,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
1,2137918531,1064,71924100,medicine,27411731,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
2,2137918531,1064,143095724,odds,36791,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
3,2137918531,1064,2778564845,center for epidemiologic studies depression scale,2199,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
4,2137918531,1064,109260823,child development,48098,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
5,2137918531,1064,107130276,epidemiology,409909,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
6,2137918531,1064,2776283161,breastfeeding,41433,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
7,2137918531,1064,187212893,pediatrics,1058722,2006-01-01,Maternal depressive symptoms at 2 to 4 months post partum and early parenting practices,10.1001/archpedi.160.3.279
8,2106231056,3061,2779407169,memory disorder,4967,2002-01-01,Cognitive functioning of long-term heavy cannabis users seeking treatment,10.1001/jama.287.9.1123
9,2106231056,3061,71924100,medicine,27411731,2002-01-01,Cognitive functioning of long-term heavy cannabis users seeking treatment,10.1001/jama.287.9.1123
10,2106231056,3061,167135981,retrospective cohort study,239570,2002-01-01,Cognitive functioning of long-term heavy cannabis users seeking treatment,10.1001/jama.287.9.1123
11,2106231056,3061,118552586,psychiatry,1492017,2002-01-01,Cognitive functioning of long-term heavy cannabis users seeking treatment,10.1001/jama.287.9.1123
12,2106231056,3061,2777056318,cannabis,22531,2002-01-01,Cognitive functioning of long-term heavy cannabis users seeking treatment,10.1001/jama.287.9.1123
13,2106231056,3061,14216870,neuropsychology,50326,2002-01-01,Cognitive functioning of long-term heavy cannabis users seeking treatment,10.1001/jama.287.9.1123
14,2106231056,3061,142052008,cross sectional study,119886,2002-01-01,Cognitive functioning of long-term heavy cannabis users seeking treatment,10.1001/jama.287.9.1123
